He1+ H ar-he1+h 0 7.47E-15 2.06 9.93 -3.89 6.00E+03 1.00E+05 0.0 10.99
He2+ H ar-he2+h 0 1.00E-14 0.00 0.00 0.00 1.00E+03 1.00E+07 0.0 0.00
C1+ H ar-c1+h 0 1.76E-18 8.33 4278.78 -6.41 3.00E+03 1.00E+04 0.0 -2.34
C2+ H ar-c2+h 0 1.67E-13 2.79 304.72 -4.07 5.00E+03 5.00E+04 0.0 4.01
C3+ H ar-c3+h 0 3.25E-09 0.21 0.19 -3.29 1.00E+03 1.00E+05 0.0 5.73
C4+ H ar-c4+h 0 3.32E-07 -0.11 -0.995 -0.00158 1.00E+01 1.00E+05 0.0 11.30
N1+ H ar-n1+h 0 1.01E-12 -0.29 -0.92 -8.38 1.00E+02 5.00E+04 0.0 0.94
N2+ H ar-n2+h 0 3.05E-10 0.60 2.65 -0.93 1.00E+03 1.00E+05 0.0 4.56
N3+ H ar-n3+h 0 4.54E-09 0.57 -0.65 -0.89 1.00E+01 1.00E+05 0.0 6.40
N4+ H ar-n4+h 0 3.28E-09 0.52 -0.52 -0.19 1.00E+03 3.00E+05 0.0 11.0
O1+ H ar-o1+h 0 1.04E-09 0.03 -0.16 -9.73 1.00E+01 1.00E+04 0.0 0.0198
O2+ H ar-o2+h 0 1.04E-09 0.27 2.02 -5.92 1.00E+02 1.00E+05 0.0 6.65
O3+ H ar-o3+h 0 3.98E-09 0.26 0.56 -2.62 1.00E+03 5.00E+04 0.0 5.00
O4+ H ar-o4+h 0 2.52E-10 0.63 2.08 -4.16 1.00E+03 3.00E+04 0.0 8.47
Ne2+ H ar-ne2+h 0 1.00E-14 0.00 0.00 0.00 5.00E+03 5.00E+04 0.0 0.00
Ne3+ H ar-ne3+h 0 1.47E-08 0.05 -0.84 -0.31 5.00E+03 5.00E+04 0.0 5.82
Ne4+ H ar-ne4+h 0 6.47E-09 0.54 3.59 -5.22 1.00E+03 3.00E+04 0.0 8.60
Si2+ H ar-si2+h 0 1.23E-09 0.24 3.17 0.00418 1.00E+01 1.00E+06 0.0 2.7388
Si3+ H ar-si3+h 0 4.90E-10 -0.09 -0.36 -0.79 1.00E+03 3.00E+04 0.0 4.23
Si4+ H ar-si4+h 0 7.58E-09 0.37 1.06 -4.09 1.00E+03 5.00E+04 0.0 7.49
S1+ H ar-s1+h 0 3.82E-16 11.10 25700.00 -8.22 3.00E+03 1.00E+04 0.0 -3.24
S2+ H ar-s2+h 0 1.00E-14 0.00 0.00 0.00 1.00E+03 3.00E+04 0.0 0.00
S3+ H ar-s3+h 0 2.29E-09 0.04 1.59 -6.06 1.00E+03 3.00E+04 0.0 5.73
S4+ H ar-s4+h 0 6.44E-09 0.13 2.69 -5.69 1.00E+03 3.00E+04 0.0 8.60
Fe2+ H ar-fe2+h 0 1.26E-09 0.08 -0.41 -7.31 1.00E+03 1.00E+05 0.0 2.56
Fe3+ H ar-fe3+h 0 3.42E-09 0.51 -2.06 -8.99 1.00E+03 1.00E+05 0.0 6.30
C H1+ ar-c+h1 1 1.00E-14 0.00 0.00 0.00 1.00E+03 1.00E+04 0.0 2.34
N H1+ ar-n+h1 1 4.55E-12 -2.9E-01 -0.92 -8.38 1.00E+02 5.00E+04 0.936 -0.94
O H1+ ar-o+h1 1 7.40E-11 4.7E-01 24.37 -0.74 1.00E+01 1.00E+04 0.0198 -0.0198
Si1+ H1+ ar-si1+h1 1 4.10E-10 0.24 3.17 4.18E-03 5.00E+03 1.00E+06 2.739 -2.7388
S H1+ ar-s+h1 1 1.00E-14 0.00 0.00 0.00 1.00E+03 1.00E+04 0.0 0.00
Fe1+ H1+ ar-fe1+h1 1 2.10E-09 7.72E-02 -0.41 -7.31 1.00E+04 1.00E+05 2.590 -2.56
C2+ He ar-c2+he 0 1.00E-10 0.00 0.00 0.00 3.00E+02 1.00E+04 0.0 0.00
C3+ He ar-c3+he 0 4.60E-11 2.00E+00 0.00 0.00 1.00E+03 3.00E+04 0.0 -6.29
C4+ He ar-c4+he 0 1.00E-14 0.00 0.00 0.00 1.00E+03 3.00E+04 0.0 0.00
N2+ He ar-n2+he 0 3.30E-10 2.90E-01 1.30E+00 -4.50E+00 1.00E+03 3.00E+04 0.0 0.00
N3+ He ar-n3+he 0 1.50E-10 0.00 0.00 0.00 1.00E+03 3.00E+04 0.0 -1.44
N4+ He ar-n4+he 0 1.70E-09 0.00 2.50E+00 -3.70E+01 1.00E+03 3.00E+04 0.0 0.00
O2+ He ar-o2+he 0 2.00E-10 9.50E-01 0.00 0.00 5.00E+03 5.00E+04 0.0 0.00
O3+ He ar-o3+he 0 1.00E-09 0.00 1.25E+00 -5.80E+00 1.00E+03 3.00E+04 0.0 0.00
O4+ He ar-o4+he 0 6.40E-10 0.00 2.00E+00 -5.50E+00 1.00E+03 3.00E+04 0.0 0.00
Ne2+ He ar-ne2+he 0 1.00E-14 0.00 0.00 0.00 1.00E+03 3.00E+04 0.0 0.00
Ne3+ He ar-ne3+he 0 1.00E-14 5.10E-01 0.00 0.00 1.00E+03 3.00E+04 0.0 0.00
Ne4+ He ar-ne4+he 0 1.70E-09 5.20E-01 3.30E+00 -5.30E+00 1.00E+03 3.00E+04 0.0 0.00
Si3+ He ar-si3+he 0 9.50E-10 7.50E-01 0.00 0.00 1.00E+03 3.00E+04 0.0 -6.91
Si4+ He ar-si4+he 0 1.20E-09 0.00 0.00 0.00 1.00E+03 3.00E+04 0.0 -8.88
S3+ He ar-s3+he 0 1.10E-09 5.60E-01 0.00 0.00 1.00E+03 3.00E+04 0.0 -9.20
S4+ He ar-s4+he 0 7.60E-13 3.20E-01 3.40E+00 -5.25E+00 1.00E+03 3.00E+04 0.0 -10.5
C1+ He1+ ar-c1+he1 1 5.00E-12 2.00E+00 7.00E-02 0.00 5.00E+03 5.00E+04 6.29 6.29E+00
N1+ He1+ ar-n1+he1 1 3.70E-12 2.10E+00 6.30E-02 0.00 1.00E+04 3.00E+05 1.44 1.44E+00
